peak_Q,lag_WSS_Q,lag_WSS_WL,Category
11649.04,-3.75,-16.25,Medium
10185.91,-11.75,-24.25,Medium
11403.9,-12.0,-23.5,Medium
12753.73,-12.0,-16.0,Medium
13135.1,0.25,-12.25,Medium
12525.13,12.5,0.0,Medium
10725.04,-11.0,-23.5,Medium
8735.206,-10.75,-23.25,Low
7426.403,0.25,-12.25,Low
7414.064,1.5,3.5,Low
7324.577,7.0,19.25,Low
7436.007,2.25,4.25,Low
8663.701,6.5,18.75,Low
8794.999,12.5,24.75,Low
8231.604,12.5,24.75,Low
8642.333,6.5,10.25,Low
7994.627,-4.75,-17.25,Low
7317.956,7.75,11.25,Low
6416.66,0.25,-12.25,Low
9318.191,12.5,24.75,Low
4923.473,4.25,7.5,Mild
4565.008,-12.0,0.25,Mild
5416.65,7.25,19.5,Low
5723.599,4.0,9.0,Low
5491.765,4.0,6.75,Low
5111.398,3.5,5.0,Low
3760.73,3.0,-9.5,Mild
4159.74,5.0,17.25,Mild
